ETP_DN2_DOWN;ETP_DN2_UP;DN2-DN3a_DOWN;DN2-DN3a_UP;DN3a_DN3b_DOWN;DN3a_DN3b_UP;DN3b_DN3-4_DOWN;DN3b_DN3-4_UP;DN3-4_ISP_DOWN;DN3-4_ISP_UP;ISP_DP_DOWN;ISP_DP_UP
;;SLC25A24;;TSPAN2;RPS25;;;;;NOL7;GDF11
;;DAP;;null;RRS1;;;;;MRPS15;SLBP
;;RAD51L1;;IL2RA;UCHL3;;;;;KIF18A;null
;;SERPINF1;;NKG7;null;;;;;CDC27;SLCO3A1
;;EHD4;;TPD52;NUDC;;;;;DDX52;GABBR1
;;CUL2;;NDRG1;DDX39;;;;;NDUFC1;TBX6
;;HSPD1;;null;CDC25A;;;;;CPSF3;PTPRE
;;RAD18;;REPIN1;RFWD3;;;;;SSB;KLF3
;;MCM4;;CASP1;null;;;;;BRCA1;NNT
;;MEF2C;;GBP2;TK1;;;;;CKAP2;NBEAL2
;;RAD51C;;PARP14;NME2;;;;;NEIL3;CD247
;;CCL3;;RTP4;USP14;;;;;TMCO4;KCNH2
;;PRKAR2A;;IFITM3;MRPS18C;;;;;CSDE1;INADL
;;null;;IFIT1;TMEM48;;;;;null;TEX14
;;DTL;;PLD4;GARS;;;;;GNG10;RB1CC1
;;RBBP8;;null;RFC1;;;;;VRK2;null
;;LMO2;;IFI44;KRAS;;;;;NUDT1;PCMTD2
;;WEE1;;IFIH1;CAMK4;;;;;TMEM97;SLC37A2
;;RASA3;;TSC22D1;NASP;;;;;ECD;SLC12A6
;;TJP2;;H19;DONSON;;;;;DBI;UBE2D1
;;MYCN;;null;ROCK2;;;;;RPL17;null
;;ITGA9;;;NUDCD1;;;;;RPL21;BTG2
;;SLC14A1;;;SMYD5;;;;;STT3A;null
;;PCTP;;;AARSD1;;;;;AKAP1;GRN
;;RPL14;;;YARS;;;;;MELK;KLC3
;;IER3;;;DEK;;;;;LDHA;DHRS3
;;LASS4;;;RPP30;;;;;SSBP1;S100A11
;;null;;;NR4A1;;;;;MYBL2;YPEL3
;;FIGNL1;;;TMEM109;;;;;MPHOSPH10;RNF167
;;CD9;;;ETF1;;;;;HSPA14;RAG1
;;UMPS;;;STMN1;;;;;null;S100A10
;;BRCA2;;;ZAP70;;;;;SLC25A17;FBXL12
;;null;;;GEMIN6;;;;;IFI30;ATHL1
;;ARHGAP6;;;XPO1;;;;;SNRPB2;LSP1
;;ITGA2B;;;PPM1G;;;;;RPS6KA3;ITPR1
;;null;;;CCDC86;;;;;CETN2;HBP1
;;CLEC4E;;;HIST2H2BB;;;;;PTPLB;PGAM2
;;LAT2;;;SLC25A5;;;;;ZWILCH;EPSTI1
;;PCYT1A;;;EXOSC2;;;;;MRPL51;RAG2
;;CKAP5;;;SDF2L1;;;;;CDCA5;WDR78
;;null;;;POLE2;;;;;NDUFA1;ELK3
;;DUSP2;;;NUP43;;;;;NUSAP1;RAB6B
;;MCM5;;;PRC1;;;;;CAB39L;NFE2
;;null;;;POLD3;;;;;NOLC1;null
;;HELLS;;;RAD54L;;;;;PRKRIR;
;;null;;;null;;;;;PTMA;
;;RFC2;;;RAD51L1;;;;;RAN;
;;PI4K2B;;;SRM;;;;;RAP1A;
;;MAPKAPK2;;;EHD4;;;;;null;
;;GLIPR1;;;HSPD1;;;;;HINT1;
;;PIP5K1B;;;MBNL3;;;;;MRPL37;
;;CD34;;;RAD18;;;;;PSMD6;
;;NCF1;;;null;;;;;ADSL;
;;TRIM16;;;MCM4;;;;;DRG2;
;;MYO1F;;;NUP133;;;;;null;
;;SWAP70;;;PLCL2;;;;;POLE;
;;SYCE2;;;UQCRQ;;;;;THOC3;
;;POLA1;;;RAD51C;;;;;RPL13;
;;SLBP;;;NUP93;;;;;TCEB1;
;;CD72;;;POLA2;;;;;CHML;
;;MTCH2;;;PRKAR2A;;;;;PSMC6;
;;null;;;FOXM1;;;;;null;
;;null;;;null;;;;;DNMT1;
;;PPP4R2;;;UTP20;;;;;RPS24;
;;RHOB;;;DTL;;;;;USP1;
;;IDE;;;RBBP8;;;;;EIF4A1;
;;CORO2A;;;CKS2;;;;;LPGAT1;
;;PHACTR2;;;E2F1;;;;;NF2;
;;07-sept;;;UTP18;;;;;KLHDC2;
;;RNF141;;;RPL14;;;;;CENPH;
;;LYL1;;;null;;;;;MTFR1;
;;NAPSA;;;ATP5G3;;;;;TNFRSF8;
;;SLCO3A1;;;FIGNL1;;;;;ATG3;
;;SNX9;;;PPAT;;;;;DHX9;
;;RAD50;;;C1QBP;;;;;null;
;;RFC4;;;UMPS;;;;;EEF1B2;
;;PRR13;;;GAS5;;;;;null;
;;KPNA3;;;LRPPRC;;;;;NUP107;
;;PTPRE;;;NOL11;;;;;BZW1;
;;MPO;;;CKAP5;;;;;TPP2;
;;BTK;;;IMPDH2;;;;;ORC6L;
